noise_level,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
low,yeast,lr,global_top_loss,0.6627,0.0427,0.7037,0.0531,0.341,0.0847,0.4257,0.0475,0.5339,0.0432
low,yeast,lr,no_cleaning,0.6063,0.0343,0.6341,0.0489,0.2262,0.068,0.0,0.0,0.0,0.0
low,yeast,lr,oracle_deletion,0.6644,0.026,0.7069,0.0308,0.3443,0.0518,1.0,0.0,0.0,0.0
low,yeast,lr,random_deletion,0.6178,0.0383,0.6492,0.0545,0.2492,0.0755,0.0642,0.0267,0.1321,0.0545
medium,credit-g,hgb,class_proportional,0.6029,0.037,0.6084,0.0431,0.32,0.0542,0.1806,0.0289,0.071,0.0371
medium,credit-g,hgb,crcc_m,0.616,0.0386,0.6228,0.0433,0.36,0.0646,0.1161,0.031,0.0355,0.0289
medium,credit-g,hgb,crcc_p_l0,0.6029,0.037,0.6084,0.0431,0.32,0.0542,0.1806,0.0289,0.071,0.0371
medium,credit-g,hgb,crcc_p_l025,0.6029,0.037,0.6084,0.0431,0.32,0.0542,0.1806,0.0289,0.071,0.0371
medium,credit-g,hgb,crcc_p_l05,0.6029,0.037,0.6084,0.0431,0.32,0.0542,0.1806,0.0289,0.071,0.0371
medium,credit-g,hgb,crcc_p_l10,0.6029,0.037,0.6084,0.0431,0.32,0.0542,0.1806,0.0289,0.071,0.0371
medium,credit-g,hgb,global_top_loss,0.5459,0.0206,0.5181,0.0325,0.1307,0.0404,0.5097,0.0577,0.4742,0.062
medium,credit-g,hgb,no_cleaning,0.5811,0.0181,0.5758,0.0228,0.216,0.0219,0.0,0.0,0.0,0.0
medium,credit-g,hgb,oracle_deletion,0.5806,0.012,0.5718,0.0172,0.2,0.0267,1.0,0.0,0.0,0.0
medium,credit-g,hgb,random_deletion,0.5829,0.0202,0.5777,0.0278,0.224,0.0494,0.1097,0.035,0.0968,0.0228
medium,credit-g,lr,class_proportional,0.6429,0.0267,0.6521,0.0291,0.408,0.0555,0.2323,0.0184,0.0484,0.0198
medium,credit-g,lr,crcc_m,0.64,0.0271,0.6489,0.0299,0.408,0.0495,0.1613,0.0323,0.0226,0.0088
medium,credit-g,lr,crcc_p_l0,0.6429,0.0267,0.6521,0.0291,0.408,0.0555,0.2323,0.0184,0.0484,0.0198
medium,credit-g,lr,crcc_p_l025,0.6429,0.0267,0.6521,0.0291,0.408,0.0555,0.2323,0.0184,0.0484,0.0198
medium,credit-g,lr,crcc_p_l05,0.6429,0.0267,0.6521,0.0291,0.408,0.0555,0.2323,0.0184,0.0484,0.0198
medium,credit-g,lr,crcc_p_l10,0.6429,0.0267,0.6521,0.0291,0.408,0.0555,0.2323,0.0184,0.0484,0.0198
medium,credit-g,lr,global_top_loss,0.5663,0.0311,0.5502,0.0477,0.176,0.0628,0.571,0.0762,0.429,0.0762
medium,credit-g,lr,no_cleaning,0.5493,0.0266,0.5164,0.0488,0.1227,0.0628,0.0,0.0,0.0,0.0
medium,credit-g,lr,oracle_deletion,0.58,0.0242,0.5668,0.0378,0.184,0.0511,1.0,0.0,0.0,0.0
medium,credit-g,lr,random_deletion,0.5686,0.029,0.5469,0.05,0.16,0.0706,0.1097,0.035,0.0968,0.0228
medium,ecoli,hgb,class_proportional,0.822,0.0894,0.8033,0.0742,0.7579,0.1689,0.3478,0.102,0.0174,0.0238
medium,ecoli,hgb,crcc_m,0.8146,0.0791,0.8014,0.0686,0.7368,0.1441,0.2261,0.0943,0.0087,0.0194
medium,ecoli,hgb,crcc_p_l0,0.822,0.0894,0.8033,0.0742,0.7579,0.1689,0.3478,0.102,0.0174,0.0238
medium,ecoli,hgb,crcc_p_l025,0.822,0.0894,0.8033,0.0742,0.7579,0.1689,0.3478,0.102,0.0174,0.0238
medium,ecoli,hgb,crcc_p_l05,0.822,0.0894,0.8033,0.0742,0.7579,0.1689,0.3478,0.102,0.0174,0.0238
medium,ecoli,hgb,crcc_p_l10,0.822,0.0894,0.8033,0.0742,0.7579,0.1689,0.3478,0.102,0.0174,0.0238
medium,ecoli,hgb,global_top_loss,0.7813,0.0899,0.7949,0.0879,0.6211,0.1761,0.6957,0.1065,0.2174,0.1108
medium,ecoli,hgb,no_cleaning,0.755,0.0823,0.7725,0.0734,0.5684,0.1639,0.0,0.0,0.0,0.0
medium,ecoli,hgb,oracle_deletion,0.8407,0.0755,0.8476,0.0654,0.7368,0.1441,1.0,0.0,0.0,0.0
medium,ecoli,hgb,random_deletion,0.7126,0.0692,0.7255,0.0605,0.5053,0.1516,0.0696,0.0496,0.1217,0.1038
medium,ecoli,lr,class_proportional,0.8288,0.0382,0.8115,0.0248,0.7684,0.1091,0.4087,0.0583,0.0087,0.0194
medium,ecoli,lr,crcc_m,0.8326,0.0351,0.813,0.0242,0.7789,0.0942,0.2783,0.0583,0.0087,0.0194
medium,ecoli,lr,crcc_p_l0,0.8288,0.0382,0.8115,0.0248,0.7684,0.1091,0.4087,0.0583,0.0087,0.0194
medium,ecoli,lr,crcc_p_l025,0.8288,0.0382,0.8115,0.0248,0.7684,0.1091,0.4087,0.0583,0.0087,0.0194
medium,ecoli,lr,crcc_p_l05,0.8288,0.0382,0.8115,0.0248,0.7684,0.1091,0.4087,0.0583,0.0087,0.0194
medium,ecoli,lr,crcc_p_l10,0.8288,0.0382,0.8115,0.0248,0.7684,0.1091,0.4087,0.0583,0.0087,0.0194
medium,ecoli,lr,global_top_loss,0.7577,0.1118,0.7845,0.1102,0.5368,0.2336,0.8,0.1253,0.2,0.1253
medium,ecoli,lr,no_cleaning,0.7517,0.1166,0.7817,0.1182,0.5158,0.2395,0.0,0.0,0.0,0.0
medium,ecoli,lr,oracle_deletion,0.8296,0.0733,0.8433,0.064,0.7053,0.1516,1.0,0.0,0.0,0.0
medium,ecoli,lr,random_deletion,0.7539,0.119,0.7793,0.12,0.5263,0.2497,0.0696,0.0496,0.1217,0.1038
medium,phoneme,hgb,class_proportional,0.7994,0.015,0.8072,0.0154,0.6909,0.0226,0.3579,0.0229,0.022,0.0093
medium,phoneme,hgb,crcc_m,0.802,0.0124,0.8081,0.0112,0.7,0.0235,0.2831,0.0185,0.0047,0.0027
medium,phoneme,hgb,crcc_p_l0,0.7994,0.015,0.8072,0.0154,0.6909,0.0226,0.3579,0.0229,0.022,0.0093
medium,phoneme,hgb,crcc_p_l025,0.7994,0.015,0.8072,0.0154,0.6909,0.0226,0.3579,0.0229,0.022,0.0093
medium,phoneme,hgb,crcc_p_l05,0.7994,0.015,0.8072,0.0154,0.6909,0.0226,0.3579,0.0229,0.022,0.0093
medium,phoneme,hgb,crcc_p_l10,0.7994,0.015,0.8072,0.0154,0.6909,0.0226,0.3579,0.0229,0.022,0.0093
medium,phoneme,hgb,global_top_loss,0.7147,0.0191,0.7414,0.0214,0.4614,0.033,0.6967,0.0213,0.27,0.0217
medium,phoneme,hgb,no_cleaning,0.7259,0.0197,0.7523,0.0223,0.4892,0.0322,0.0,0.0,0.0,0.0
medium,phoneme,hgb,oracle_deletion,0.7684,0.0111,0.7963,0.0124,0.5693,0.0192,1.0,0.0,0.0,0.0
medium,phoneme,hgb,random_deletion,0.721,0.0169,0.7463,0.0193,0.4836,0.0262,0.1098,0.0158,0.1199,0.0207
medium,phoneme,lr,class_proportional,0.6742,0.0202,0.6856,0.0205,0.4649,0.0424,0.27,0.0109,0.0178,0.0073
medium,phoneme,lr,crcc_m,0.6885,0.0233,0.6987,0.0231,0.5002,0.0454,0.1887,0.0108,0.0077,0.0045
medium,phoneme,lr,crcc_p_l0,0.6742,0.0202,0.6856,0.0205,0.4649,0.0424,0.27,0.0109,0.0178,0.0073
medium,phoneme,lr,crcc_p_l025,0.6742,0.0202,0.6856,0.0205,0.4649,0.0424,0.27,0.0109,0.0178,0.0073
medium,phoneme,lr,crcc_p_l05,0.6742,0.0202,0.6856,0.0205,0.4649,0.0424,0.27,0.0109,0.0178,0.0073
medium,phoneme,lr,crcc_p_l10,0.6742,0.0202,0.6856,0.0205,0.4649,0.0424,0.27,0.0109,0.0178,0.0073
medium,phoneme,lr,global_top_loss,0.551,0.012,0.525,0.0184,0.1301,0.0211,0.6315,0.0468,0.3685,0.0468
medium,phoneme,lr,no_cleaning,0.5199,0.0126,0.4549,0.0257,0.0403,0.026,0.0,0.0,0.0,0.0
medium,phoneme,lr,oracle_deletion,0.539,0.0079,0.4988,0.0172,0.0928,0.0225,1.0,0.0,0.0,0.0
medium,phoneme,lr,random_deletion,0.5182,0.0088,0.4517,0.0181,0.0368,0.0184,0.1098,0.0158,0.1199,0.0207
medium,pima,hgb,class_proportional,0.6565,0.035,0.6641,0.0387,0.4299,0.0532,0.2591,0.0203,0.0409,0.0249
medium,pima,hgb,crcc_m,0.6629,0.0227,0.6706,0.0245,0.4537,0.043,0.1864,0.0249,0.0091,0.0124
medium,pima,hgb,crcc_p_l0,0.6565,0.035,0.6641,0.0387,0.4299,0.0532,0.2591,0.0203,0.0409,0.0249
medium,pima,hgb,crcc_p_l025,0.6565,0.035,0.6641,0.0387,0.4299,0.0532,0.2591,0.0203,0.0409,0.0249
medium,pima,hgb,crcc_p_l05,0.6565,0.035,0.6641,0.0387,0.4299,0.0532,0.2591,0.0203,0.0409,0.0249
medium,pima,hgb,crcc_p_l10,0.6565,0.035,0.6641,0.0387,0.4299,0.0532,0.2591,0.0203,0.0409,0.0249
medium,pima,hgb,global_top_loss,0.5683,0.0303,0.5445,0.0406,0.191,0.0499,0.5182,0.0543,0.4273,0.0296
medium,pima,hgb,no_cleaning,0.6033,0.0294,0.5983,0.0377,0.2866,0.0552,0.0,0.0,0.0,0.0
medium,pima,hgb,oracle_deletion,0.6117,0.048,0.6042,0.0641,0.2746,0.0874,1.0,0.0,0.0,0.0
medium,pima,hgb,random_deletion,0.5629,0.0358,0.5432,0.0513,0.209,0.0692,0.1091,0.0337,0.1318,0.0296
medium,pima,lr,class_proportional,0.719,0.0334,0.7286,0.036,0.5612,0.0375,0.2864,0.0345,0.0318,0.0259
medium,pima,lr,crcc_m,0.7186,0.0282,0.7266,0.0297,0.5731,0.0359,0.2045,0.0161,0.0045,0.0102
medium,pima,lr,crcc_p_l0,0.719,0.0334,0.7286,0.036,0.5612,0.0375,0.2864,0.0345,0.0318,0.0259
medium,pima,lr,crcc_p_l025,0.719,0.0334,0.7286,0.036,0.5612,0.0375,0.2864,0.0345,0.0318,0.0259
medium,pima,lr,crcc_p_l05,0.719,0.0334,0.7286,0.036,0.5612,0.0375,0.2864,0.0345,0.0318,0.0259
medium,pima,lr,crcc_p_l10,0.719,0.0334,0.7286,0.036,0.5612,0.0375,0.2864,0.0345,0.0318,0.0259
medium,pima,lr,global_top_loss,0.6134,0.0269,0.6032,0.037,0.2507,0.0511,0.6,0.0932,0.3818,0.0841
medium,pima,lr,no_cleaning,0.5801,0.0315,0.5504,0.0486,0.1761,0.0582,0.0,0.0,0.0,0.0
medium,pima,lr,oracle_deletion,0.5971,0.035,0.5781,0.0514,0.2149,0.063,1.0,0.0,0.0,0.0
medium,pima,lr,random_deletion,0.5802,0.0272,0.55,0.0412,0.1731,0.0479,0.1091,0.0337,0.1318,0.0296
medium,yeast,hgb,class_proportional,0.709,0.0268,0.7069,0.0261,0.518,0.0526,0.2954,0.0327,0.0349,0.0219
medium,yeast,hgb,crcc_m,0.7183,0.0329,0.7073,0.0323,0.5508,0.0631,0.2257,0.0256,0.0073,0.0077
medium,yeast,hgb,crcc_p_l0,0.709,0.0268,0.7069,0.0261,0.518,0.0526,0.2954,0.0327,0.0349,0.0219
medium,yeast,hgb,crcc_p_l025,0.709,0.0268,0.7069,0.0261,0.518,0.0526,0.2954,0.0327,0.0349,0.0219
medium,yeast,hgb,crcc_p_l05,0.709,0.0268,0.7069,0.0261,0.518,0.0526,0.2954,0.0327,0.0349,0.0219
medium,yeast,hgb,crcc_p_l10,0.709,0.0268,0.7069,0.0261,0.518,0.0526,0.2954,0.0327,0.0349,0.0219
medium,yeast,hgb,global_top_loss,0.6697,0.0337,0.7055,0.0317,0.3672,0.0739,0.6312,0.0407,0.3174,0.0488
medium,yeast,hgb,no_cleaning,0.6631,0.0438,0.6854,0.0408,0.3803,0.0908,0.0,0.0,0.0,0.0
medium,yeast,hgb,oracle_deletion,0.6974,0.0347,0.7274,0.0339,0.4361,0.0711,1.0,0.0,0.0,0.0
medium,yeast,hgb,random_deletion,0.6693,0.0444,0.6927,0.0421,0.3902,0.0937,0.1303,0.0346,0.1174,0.0447
medium,yeast,lr,class_proportional,0.7502,0.0221,0.7513,0.0168,0.5803,0.0609,0.3541,0.023,0.033,0.0123
medium,yeast,lr,crcc_m,0.7499,0.0199,0.7491,0.0203,0.5836,0.0551,0.2771,0.012,0.0055,0.005
medium,yeast,lr,crcc_p_l0,0.7502,0.0221,0.7513,0.0168,0.5803,0.0609,0.3541,0.023,0.033,0.0123
medium,yeast,lr,crcc_p_l025,0.7502,0.0221,0.7513,0.0168,0.5803,0.0609,0.3541,0.023,0.033,0.0123
medium,yeast,lr,crcc_p_l05,0.7502,0.0221,0.7513,0.0168,0.5803,0.0609,0.3541,0.023,0.033,0.0123
medium,yeast,lr,crcc_p_l10,0.7502,0.0221,0.7513,0.0168,0.5803,0.0609,0.3541,0.023,0.033,0.0123
medium,yeast,lr,global_top_loss,0.6542,0.0435,0.6932,0.053,0.3246,0.0871,0.6936,0.0347,0.2899,0.0403
medium,yeast,lr,no_cleaning,0.5981,0.0316,0.6242,0.0464,0.2066,0.0598,0.0,0.0,0.0,0.0
medium,yeast,lr,oracle_deletion,0.65,0.0225,0.6904,0.0273,0.3148,0.0455,1.0,0.0,0.0,0.0
medium,yeast,lr,random_deletion,0.5984,0.0356,0.6233,0.0523,0.2066,0.0729,0.1303,0.0346,0.1174,0.0447
