deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
0,0.6425671641791045,0.6484123967798777,0.373134328358209,,,0.0,0.0,,pima,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.6865074626865671,0.6858545292280231,0.5970149253731343,,,0.0,44.0,,pima,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5482388059701493,0.49462783171521035,0.1044776119402985,,,0.0,0.0,,pima,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
44,0.7017313432835821,0.7130604288499025,0.5074626865671642,0.3409090909090909,0.022727272727272728,,,,pima,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6814925373134328,0.69377990430622,0.40298507462686567,,,0.0,44.0,,pima,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.7718208955223881,0.77734375,0.6716417910447762,,,0.0,0.0,,pima,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7904477611940299,0.7713248638838476,0.8208955223880597,,,0.0,44.0,,pima,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5333134328358209,0.467206977051491,0.07462686567164178,,,0.0,0.0,,pima,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
44,0.6558805970149254,0.6631578947368422,0.44776119402985076,0.29545454545454547,0.045454545454545456,,,,pima,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6143283582089551,0.6081632653061224,0.26865671641791045,,,0.0,44.0,,pima,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.6771940298507462,0.6830202784786468,0.5223880597014925,,,0.0,0.0,,pima,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7312835820895522,0.7254180894842834,0.6865671641791045,,,0.0,44.0,,pima,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5074626865671642,0.41027550260610574,0.014925373134328358,,,0.0,0.0,,pima,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
44,0.6311044776119403,0.6351449400545901,0.3582089552238806,0.38636363636363635,0.022727272727272728,,,,pima,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.5655522388059702,0.5391697816250246,0.1791044776119403,,,0.0,44.0,,pima,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
