deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method
0,0.5213134328358209,0.45864661654135336,0.07462686567164178,0.0,0.0,pima,lr,13,no_cleaning
44,0.5138507462686567,0.4449190938511327,0.05970149253731343,0.11363636363636363,0.06818181818181818,pima,lr,13,random_deletion
44,0.5287761194029851,0.4720588857396675,0.08955223880597014,0.5454545454545454,0.45454545454545453,pima,lr,13,global_top_loss
44,0.6518805970149254,0.6586390819460158,0.44776119402985076,0.3181818181818182,0.09090909090909091,pima,lr,13,class_proportional
44,0.5247761194029851,0.46907993966817496,0.08955223880597014,1.0,0.0,pima,lr,13,oracle_deletion
44,0.6518805970149254,0.6586390819460158,0.44776119402985076,0.3181818181818182,0.09090909090909091,pima,lr,13,crcc_p_l0
44,0.6518805970149254,0.6586390819460158,0.44776119402985076,0.3181818181818182,0.09090909090909091,pima,lr,13,crcc_p_l025
44,0.6518805970149254,0.6586390819460158,0.44776119402985076,0.3181818181818182,0.09090909090909091,pima,lr,13,crcc_p_l05
44,0.6518805970149254,0.6586390819460158,0.44776119402985076,0.3181818181818182,0.09090909090909091,pima,lr,13,crcc_p_l10
44,0.6478805970149254,0.6541430777148739,0.44776119402985076,0.25,0.045454545454545456,pima,lr,13,crcc_m
0,0.5223880597014925,0.4409463148316652,0.04477611940298507,0.0,0.0,pima,lr,29,no_cleaning
44,0.5447761194029851,0.48412104127207856,0.08955223880597014,0.09090909090909091,0.09090909090909091,pima,lr,29,random_deletion
44,0.5373134328358209,0.4700854700854701,0.07462686567164178,0.5909090909090909,0.38636363636363635,pima,lr,29,global_top_loss
44,0.7435820895522388,0.7579440762889931,0.5671641791044776,0.38636363636363635,0.0,pima,lr,29,class_proportional
44,0.5522388059701493,0.4978204010462075,0.1044776119402985,1.0,0.0,pima,lr,29,oracle_deletion
44,0.7435820895522388,0.7579440762889931,0.5671641791044776,0.38636363636363635,0.0,pima,lr,29,crcc_p_l0
44,0.7435820895522388,0.7579440762889931,0.5671641791044776,0.38636363636363635,0.0,pima,lr,29,crcc_p_l025
44,0.7435820895522388,0.7579440762889931,0.5671641791044776,0.38636363636363635,0.0,pima,lr,29,crcc_p_l05
44,0.7435820895522388,0.7579440762889931,0.5671641791044776,0.38636363636363635,0.0,pima,lr,29,crcc_p_l10
44,0.7321194029850746,0.7455309519961208,0.5522388059701493,0.3409090909090909,0.0,pima,lr,29,crcc_m
0,0.5333134328358209,0.467206977051491,0.07462686567164178,0.0,0.0,pima,lr,47,no_cleaning
44,0.5407761194029851,0.4810810810810811,0.08955223880597014,0.1590909090909091,0.13636363636363635,pima,lr,47,random_deletion
44,0.562089552238806,0.5312012168274427,0.16417910447761194,0.6590909090909091,0.3409090909090909,pima,lr,47,global_top_loss
44,0.6558805970149254,0.6631578947368422,0.44776119402985076,0.29545454545454547,0.045454545454545456,pima,lr,47,class_proportional
44,0.5666268656716418,0.5298609670056028,0.14925373134328357,1.0,0.0,pima,lr,47,oracle_deletion
44,0.6558805970149254,0.6631578947368422,0.44776119402985076,0.29545454545454547,0.045454545454545456,pima,lr,47,crcc_p_l0
44,0.6558805970149254,0.6631578947368422,0.44776119402985076,0.29545454545454547,0.045454545454545456,pima,lr,47,crcc_p_l025
44,0.6558805970149254,0.6631578947368422,0.44776119402985076,0.29545454545454547,0.045454545454545456,pima,lr,47,crcc_p_l05
44,0.6558805970149254,0.6631578947368422,0.44776119402985076,0.29545454545454547,0.045454545454545456,pima,lr,47,crcc_p_l10
44,0.6713432835820896,0.6802403422264311,0.4626865671641791,0.25,0.022727272727272728,pima,lr,47,crcc_m
0,0.5447761194029851,0.48412104127207856,0.08955223880597014,0.0,0.0,pima,lr,61,no_cleaning
44,0.5223880597014925,0.4409463148316652,0.04477611940298507,0.13636363636363635,0.13636363636363635,pima,lr,61,random_deletion
44,0.578089552238806,0.5457978833782943,0.16417910447761194,0.6363636363636364,0.36363636363636365,pima,lr,61,global_top_loss
44,0.7171940298507462,0.7303987199164027,0.5223880597014925,0.3409090909090909,0.045454545454545456,pima,lr,61,class_proportional
44,0.5482388059701493,0.49462783171521035,0.1044776119402985,1.0,0.0,pima,lr,61,oracle_deletion
44,0.7171940298507462,0.7303987199164027,0.5223880597014925,0.3409090909090909,0.045454545454545456,pima,lr,61,crcc_p_l0
44,0.7171940298507462,0.7303987199164027,0.5223880597014925,0.3409090909090909,0.045454545454545456,pima,lr,61,crcc_p_l025
44,0.7171940298507462,0.7303987199164027,0.5223880597014925,0.3409090909090909,0.045454545454545456,pima,lr,61,crcc_p_l05
44,0.7171940298507462,0.7303987199164027,0.5223880597014925,0.3409090909090909,0.045454545454545456,pima,lr,61,crcc_p_l10
44,0.7355820895522388,0.7480072985690963,0.5671641791044776,0.25,0.022727272727272728,pima,lr,61,crcc_m
0,0.5706268656716418,0.5334338863750628,0.14925373134328357,0.0,0.0,pima,lr,83,no_cleaning
44,0.5631641791044776,0.5207919116713905,0.13432835820895522,0.13636363636363635,0.13636363636363635,pima,lr,83,random_deletion
44,0.6257910447761194,0.6226757369614513,0.2835820895522388,0.7045454545454546,0.29545454545454547,pima,lr,83,global_top_loss
44,0.7281194029850746,0.7406073082861555,0.5522388059701493,0.3409090909090909,0.0,pima,lr,83,class_proportional
44,0.5924776119402985,0.5733333333333334,0.208955223880597,1.0,0.0,pima,lr,83,oracle_deletion
44,0.7281194029850746,0.7406073082861555,0.5522388059701493,0.3409090909090909,0.0,pima,lr,83,crcc_p_l0
44,0.7281194029850746,0.7406073082861555,0.5522388059701493,0.3409090909090909,0.0,pima,lr,83,crcc_p_l025
44,0.7281194029850746,0.7406073082861555,0.5522388059701493,0.3409090909090909,0.0,pima,lr,83,crcc_p_l05
44,0.7281194029850746,0.7406073082861555,0.5522388059701493,0.3409090909090909,0.0,pima,lr,83,crcc_p_l10
44,0.7315820895522388,0.7430865298840321,0.5671641791044776,0.22727272727272727,0.0,pima,lr,83,crcc_m
0,0.5426268656716418,0.5089514066496164,0.14925373134328357,0.0,0.0,pima,hgb,13,no_cleaning
44,0.5346268656716417,0.5021479159410194,0.14925373134328357,0.11363636363636363,0.06818181818181818,pima,hgb,13,random_deletion
