deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method,noise_level
0,0.5386268656716418,0.5055408147338848,0.14925373134328357,0.0,0.0,pima,hgb,13,no_cleaning,low
44,0.5277014925373135,0.48508986110555175,0.11940298507462686,0.045454545454545456,0.13636363636363635,pima,hgb,13,random_deletion,low
44,0.5402388059701493,0.4883032277169085,0.1044776119402985,0.4318181818181818,0.5227272727272727,pima,hgb,13,global_top_loss,low
44,0.6305671641791045,0.635129632143342,0.373134328358209,0.25,0.0,pima,hgb,13,class_proportional,low
32,0.5764776119402985,0.5577395577395577,0.208955223880597,1.0,0.0,pima,hgb,13,oracle_deletion,low
44,0.6305671641791045,0.635129632143342,0.373134328358209,0.25,0.0,pima,hgb,13,crcc_p_l0,low
44,0.6305671641791045,0.635129632143342,0.373134328358209,0.25,0.0,pima,hgb,13,crcc_p_l025,low
44,0.6305671641791045,0.635129632143342,0.373134328358209,0.25,0.0,pima,hgb,13,crcc_p_l05,low
44,0.6305671641791045,0.635129632143342,0.373134328358209,0.25,0.0,pima,hgb,13,crcc_p_l10,low
44,0.6231044776119403,0.6264208909370199,0.3582089552238806,0.13636363636363635,0.0,pima,hgb,13,crcc_m,low
0,0.643641791044776,0.6482632278458278,0.34328358208955223,0.0,0.0,pima,hgb,29,no_cleaning,low
44,0.636179104477612,0.6388888888888888,0.3283582089552239,0.045454545454545456,0.13636363636363635,pima,hgb,29,random_deletion,low
44,0.6332537313432836,0.6327495030566703,0.29850746268656714,0.3181818181818182,0.5227272727272727,pima,hgb,29,global_top_loss,low
44,0.7171940298507462,0.7303987199164027,0.5223880597014925,0.13636363636363635,0.045454545454545456,pima,hgb,29,class_proportional,low
24,0.6321791044776119,0.634469628937821,0.3283582089552239,1.0,0.0,pima,hgb,29,oracle_deletion,low
44,0.7171940298507462,0.7303987199164027,0.5223880597014925,0.13636363636363635,0.045454545454545456,pima,hgb,29,crcc_p_l0,low
44,0.7171940298507462,0.7303987199164027,0.5223880597014925,0.13636363636363635,0.045454545454545456,pima,hgb,29,crcc_p_l025,low
44,0.7171940298507462,0.7303987199164027,0.5223880597014925,0.13636363636363635,0.045454545454545456,pima,hgb,29,crcc_p_l05,low
44,0.7171940298507462,0.7303987199164027,0.5223880597014925,0.13636363636363635,0.045454545454545456,pima,hgb,29,crcc_p_l10,low
44,0.6868059701492537,0.6974789915966386,0.47761194029850745,0.09090909090909091,0.022727272727272728,pima,hgb,29,crcc_m,low
0,0.5874029850746268,0.5751415819675205,0.23880597014925373,0.0,0.0,pima,hgb,47,no_cleaning,low
44,0.5924776119402985,0.5733333333333334,0.208955223880597,0.06818181818181818,0.18181818181818182,pima,hgb,47,random_deletion,low
44,0.5804776119402985,0.5615929409032857,0.208955223880597,0.29545454545454547,0.5909090909090909,pima,hgb,47,global_top_loss,low
44,0.6828059701492537,0.692779936648924,0.47761194029850745,0.18181818181818182,0.09090909090909091,pima,hgb,47,class_proportional,low
20,0.6217910447761194,0.6183475227843829,0.2835820895522388,1.0,0.0,pima,hgb,47,oracle_deletion,low
44,0.6828059701492537,0.692779936648924,0.47761194029850745,0.18181818181818182,0.09090909090909091,pima,hgb,47,crcc_p_l0,low
44,0.6828059701492537,0.692779936648924,0.47761194029850745,0.18181818181818182,0.09090909090909091,pima,hgb,47,crcc_p_l025,low
44,0.6828059701492537,0.692779936648924,0.47761194029850745,0.18181818181818182,0.09090909090909091,pima,hgb,47,crcc_p_l05,low
44,0.6828059701492537,0.692779936648924,0.47761194029850745,0.18181818181818182,0.09090909090909091,pima,hgb,47,crcc_p_l10,low
44,0.6828059701492537,0.692779936648924,0.47761194029850745,0.1590909090909091,0.0,pima,hgb,47,crcc_m,low
0,0.5719402985074628,0.5568790946992257,0.22388059701492538,0.0,0.0,pima,hgb,61,no_cleaning,low
44,0.5799402985074628,0.564625850340136,0.22388059701492538,0.022727272727272728,0.20454545454545456,pima,hgb,61,random_deletion,low
44,0.6068656716417911,0.5977908969720054,0.2537313432835821,0.3409090909090909,0.5454545454545454,pima,hgb,61,global_top_loss,low
44,0.6788059701492537,0.6881091617933723,0.47761194029850745,0.13636363636363635,0.045454545454545456,pima,hgb,61,class_proportional,low
27,0.6097910447761195,0.605575935436537,0.2835820895522388,1.0,0.0,pima,hgb,61,oracle_deletion,low
44,0.6788059701492537,0.6881091617933723,0.47761194029850745,0.13636363636363635,0.045454545454545456,pima,hgb,61,crcc_p_l0,low
44,0.6788059701492537,0.6881091617933723,0.47761194029850745,0.13636363636363635,0.045454545454545456,pima,hgb,61,crcc_p_l025,low
44,0.6788059701492537,0.6881091617933723,0.47761194029850745,0.13636363636363635,0.045454545454545456,pima,hgb,61,crcc_p_l05,low
44,0.6788059701492537,0.6881091617933723,0.47761194029850745,0.13636363636363635,0.045454545454545456,pima,hgb,61,crcc_p_l10,low
44,0.6937313432835821,0.7035512094698919,0.5074626865671642,0.09090909090909091,0.0,pima,hgb,61,crcc_m,low
0,0.655641791044776,0.6619222303741746,0.34328358208955223,0.0,0.0,pima,hgb,83,no_cleaning,low
44,0.6505671641791045,0.6574187454081097,0.373134328358209,0.045454545454545456,0.18181818181818182,pima,hgb,83,random_deletion,low
44,0.6631044776119402,0.6713167000546348,0.3582089552238806,0.36363636363636365,0.5681818181818182,pima,hgb,83,global_top_loss,low
