deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method,noise_level
23,0.8748987854251011,0.8548108315728826,0.8421052631578947,0.34782608695652173,0.391304347826087,ecoli,hgb,61,global_top_loss,low
23,0.8595141700404858,0.8280930232558139,0.8421052631578947,0.17391304347826086,0.043478260869565216,ecoli,hgb,61,class_proportional,low
16,0.8376518218623481,0.8440272333402105,0.7368421052631579,1.0,0.0,ecoli,hgb,61,oracle_deletion,low
23,0.8595141700404858,0.8280930232558139,0.8421052631578947,0.17391304347826086,0.043478260869565216,ecoli,hgb,61,crcc_p_l0,low
23,0.8595141700404858,0.8280930232558139,0.8421052631578947,0.17391304347826086,0.043478260869565216,ecoli,hgb,61,crcc_p_l025,low
23,0.8595141700404858,0.8280930232558139,0.8421052631578947,0.17391304347826086,0.043478260869565216,ecoli,hgb,61,crcc_p_l05,low
23,0.8595141700404858,0.8280930232558139,0.8421052631578947,0.17391304347826086,0.043478260869565216,ecoli,hgb,61,crcc_p_l10,low
23,0.8595141700404858,0.8280930232558139,0.8421052631578947,0.08695652173913043,0.043478260869565216,ecoli,hgb,61,crcc_m,low
0,0.9319838056680162,0.9319838056680162,0.8947368421052632,0.0,0.0,ecoli,hgb,83,no_cleaning,low
23,0.7817813765182187,0.8219919943489522,0.5789473684210527,0.043478260869565216,0.34782608695652173,ecoli,hgb,83,random_deletion,low
23,0.8639676113360324,0.8639676113360324,0.7894736842105263,0.5217391304347826,0.30434782608695654,ecoli,hgb,83,global_top_loss,low
23,0.8672064777327935,0.8412698412698412,0.8421052631578947,0.30434782608695654,0.0,ecoli,hgb,83,class_proportional,low
17,0.8979757085020244,0.8979757085020244,0.8421052631578947,1.0,0.0,ecoli,hgb,83,oracle_deletion,low
23,0.8672064777327935,0.8412698412698412,0.8421052631578947,0.30434782608695654,0.0,ecoli,hgb,83,crcc_p_l0,low
23,0.8672064777327935,0.8412698412698412,0.8421052631578947,0.30434782608695654,0.0,ecoli,hgb,83,crcc_p_l025,low
23,0.8672064777327935,0.8412698412698412,0.8421052631578947,0.30434782608695654,0.0,ecoli,hgb,83,crcc_p_l05,low
23,0.8672064777327935,0.8412698412698412,0.8421052631578947,0.30434782608695654,0.0,ecoli,hgb,83,crcc_p_l10,low
23,0.8825910931174089,0.86875,0.8421052631578947,0.21739130434782608,0.0,ecoli,hgb,83,crcc_m,low
0,0.5396028346290126,0.5014071442668245,0.09595959595959595,0.0,0.0,phoneme,lr,13,no_cleaning,low
337,0.5383402083663864,0.49918297503847875,0.09343434343434344,0.04451038575667656,0.14836795252225518,phoneme,lr,13,random_deletion,low
337,0.5490877359987307,0.5202672614340446,0.12121212121212122,0.3056379821958457,0.6943620178041543,phoneme,lr,13,global_top_loss,low
337,0.6623208525040987,0.6737559799764608,0.44191919191919193,0.18100890207715134,0.03857566765578635,phoneme,lr,13,class_proportional,low
176,0.5480406155798826,0.5193053738264123,0.12121212121212122,1.0,0.0,phoneme,lr,13,oracle_deletion,low
337,0.6623208525040987,0.6737559799764608,0.44191919191919193,0.18100890207715134,0.03857566765578635,phoneme,lr,13,crcc_p_l0,low
337,0.6623208525040987,0.6737559799764608,0.44191919191919193,0.18100890207715134,0.03857566765578635,phoneme,lr,13,crcc_p_l025,low
337,0.6623208525040987,0.6737559799764608,0.44191919191919193,0.18100890207715134,0.03857566765578635,phoneme,lr,13,crcc_p_l05,low
337,0.6623208525040987,0.6737559799764608,0.44191919191919193,0.18100890207715134,0.03857566765578635,phoneme,lr,13,crcc_p_l10,low
337,0.6678023692421597,0.6788039680025743,0.45707070707070707,0.12166172106824925,0.020771513353115726,phoneme,lr,13,crcc_m,low
0,0.5324406317823931,0.4879268107788923,0.08060453400503778,0.0,0.0,phoneme,lr,29,no_cleaning,low
337,0.5341225332551791,0.4929762677538734,0.08816120906801007,0.06528189910979229,0.11275964391691394,phoneme,lr,29,random_deletion,low
337,0.5481955863948165,0.5227486822922507,0.1309823677581864,0.3827893175074184,0.6172106824925816,phoneme,lr,29,global_top_loss,low
337,0.6915149786923942,0.7015206445327706,0.5088161209068011,0.19881305637982197,0.026706231454005934,phoneme,lr,29,class_proportional,low
201,0.5422112383758694,0.5117872518417137,0.11586901763224182,1.0,0.0,phoneme,lr,29,oracle_deletion,low
337,0.6915149786923942,0.7015206445327706,0.5088161209068011,0.19881305637982197,0.026706231454005934,phoneme,lr,29,crcc_p_l0,low
337,0.6915149786923942,0.7015206445327706,0.5088161209068011,0.19881305637982197,0.026706231454005934,phoneme,lr,29,crcc_p_l025,low
337,0.6915149786923942,0.7015206445327706,0.5088161209068011,0.19881305637982197,0.026706231454005934,phoneme,lr,29,crcc_p_l05,low
337,0.6915149786923942,0.7015206445327706,0.5088161209068011,0.19881305637982197,0.026706231454005934,phoneme,lr,29,crcc_p_l10,low
337,0.7085214581056034,0.7164305853481623,0.5491183879093199,0.12759643916913946,0.011869436201780416,phoneme,lr,29,crcc_m,low
0,0.5444014067772445,0.5063378353487029,0.0982367758186398,0.0,0.0,phoneme,lr,47,no_cleaning,low
337,0.5426178519187407,0.5036475783206305,0.09571788413098237,0.04747774480712166,0.142433234421365,phoneme,lr,47,random_deletion,low
337,0.5561667960437031,0.532832073116152,0.1385390428211587,0.3768545994065282,0.6231454005934718,phoneme,lr,47,global_top_loss,low
337,0.6764016285664496,0.6867862726122236,0.47858942065491183,0.16913946587537093,0.05341246290801187,phoneme,lr,47,class_proportional,low
181,0.5435723376054159,0.5120196982979559,0.11335012594458438,1.0,0.0,phoneme,lr,47,oracle_deletion,low
337,0.6764016285664496,0.6867862726122236,0.47858942065491183,0.16913946587537093,0.05341246290801187,phoneme,lr,47,crcc_p_l0,low
337,0.6764016285664496,0.6867862726122236,0.47858942065491183,0.16913946587537093,0.05341246290801187,phoneme,lr,47,crcc_p_l025,low
337,0.6764016285664496,0.6867862726122236,0.47858942065491183,0.16913946587537093,0.05341246290801187,phoneme,lr,47,crcc_p_l05,low
337,0.6764016285664496,0.6867862726122236,0.47858942065491183,0.16913946587537093,0.05341246290801187,phoneme,lr,47,crcc_p_l10,low
337,0.6900522260771298,0.69832875648387,0.5163727959697733,0.10089020771513353,0.032640949554896145,phoneme,lr,47,crcc_m,low
0,0.540200613616801,0.4967812983311336,0.08564231738035265,0.0,0.0,phoneme,lr,61,no_cleaning,low
337,0.5371576129144686,0.4917370163616912,0.08060453400503778,0.06528189910979229,0.1394658753709199,phoneme,lr,61,random_deletion,low
337,0.5568942118298137,0.5300324675324676,0.12846347607052896,0.3026706231454006,0.6973293768545994,phoneme,lr,61,global_top_loss,low
337,0.697186445511145,0.7058236942109789,0.5264483627204031,0.17507418397626112,0.03857566765578635,phoneme,lr,61,class_proportional,low
165,0.5487117743664486,0.5186300114018059,0.11838790931989925,1.0,0.0,phoneme,lr,61,oracle_deletion,low
337,0.697186445511145,0.7058236942109789,0.5264483627204031,0.17507418397626112,0.03857566765578635,phoneme,lr,61,crcc_p_l0,low
337,0.697186445511145,0.7058236942109789,0.5264483627204031,0.17507418397626112,0.03857566765578635,phoneme,lr,61,crcc_p_l025,low
337,0.697186445511145,0.7058236942109789,0.5264483627204031,0.17507418397626112,0.03857566765578635,phoneme,lr,61,crcc_p_l05,low
337,0.697186445511145,0.7058236942109789,0.5264483627204031,0.17507418397626112,0.03857566765578635,phoneme,lr,61,crcc_p_l10,low
337,0.708208576905407,0.7155233493259441,0.5516372795969773,0.12166172106824925,0.005934718100890208,phoneme,lr,61,crcc_m,low
0,0.5252525252525253,0.46583720304192744,0.050505050505050504,0.0,0.0,phoneme,lr,83,no_cleaning,low
337,0.5368316674599397,0.4891787701690792,0.07575757575757576,0.06528189910979229,0.13353115727002968,phoneme,lr,83,random_deletion,low
337,0.5614984927812153,0.5399780142025595,0.14393939393939395,0.42433234421364985,0.5756676557863502,phoneme,lr,83,global_top_loss,low
337,0.6790126394838437,0.6929152734382138,0.4595959595959596,0.19584569732937684,0.020771513353115726,phoneme,lr,83,class_proportional,low
207,0.5406499550478608,0.5023014640638864,0.09595959595959595,1.0,0.0,phoneme,lr,83,oracle_deletion,low
337,0.6790126394838437,0.6929152734382138,0.4595959595959596,0.19584569732937684,0.020771513353115726,phoneme,lr,83,crcc_p_l0,low
337,0.6790126394838437,0.6929152734382138,0.4595959595959596,0.19584569732937684,0.020771513353115726,phoneme,lr,83,crcc_p_l025,low
337,0.6790126394838437,0.6929152734382138,0.4595959595959596,0.19584569732937684,0.020771513353115726,phoneme,lr,83,crcc_p_l05,low
337,0.6790126394838437,0.6929152734382138,0.4595959595959596,0.19584569732937684,0.020771513353115726,phoneme,lr,83,crcc_p_l10,low
337,0.7029099899518747,0.7158731618498881,0.5126262626262627,0.11869436201780416,0.008902077151335312,phoneme,lr,83,crcc_m,low
0,0.7483050399280766,0.7749631622781729,0.5353535353535354,0.0,0.0,phoneme,hgb,13,no_cleaning,low
337,0.7458723359246919,0.7738010435502627,0.5252525252525253,0.04451038575667656,0.14836795252225518,phoneme,hgb,13,random_deletion,low
337,0.7115659209900047,0.7383464968634268,0.45454545454545453,0.3827893175074184,0.4629080118694362,phoneme,hgb,13,global_top_loss,low
337,0.826493997567296,0.8313471502590674,0.73989898989899,0.2551928783382789,0.017804154302670624,phoneme,hgb,13,class_proportional,low
176,0.7609313025543392,0.787392460387012,0.5606060606060606,1.0,0.0,phoneme,hgb,13,oracle_deletion,low
337,0.826493997567296,0.8313471502590674,0.73989898989899,0.2551928783382789,0.017804154302670624,phoneme,hgb,13,crcc_p_l0,low
337,0.826493997567296,0.8313471502590674,0.73989898989899,0.2551928783382789,0.017804154302670624,phoneme,hgb,13,crcc_p_l025,low
337,0.826493997567296,0.8313471502590674,0.73989898989899,0.2551928783382789,0.017804154302670624,phoneme,hgb,13,crcc_p_l05,low
337,0.826493997567296,0.8313471502590674,0.73989898989899,0.2551928783382789,0.017804154302670624,phoneme,hgb,13,crcc_p_l10,low
337,0.811988999947115,0.8173190705271591,0.7171717171717171,0.18694362017804153,0.0,phoneme,hgb,13,crcc_m,low
0,0.7572715175134261,0.7815828230369739,0.5617128463476071,0.0,0.0,phoneme,hgb,29,no_cleaning,low
337,0.7542285168110937,0.7783661633777504,0.5566750629722922,0.06528189910979229,0.11275964391691394,phoneme,hgb,29,random_deletion,low
337,0.7381686020415168,0.7632471786309262,0.5214105793450882,0.44807121661721067,0.3768545994065282,phoneme,hgb,29,global_top_loss,low
337,0.8182807112040513,0.8215680781237493,0.7329974811083123,0.26112759643916916,0.04154302670623145,phoneme,hgb,29,class_proportional,low
201,0.7969401010725092,0.8205988314357636,0.6347607052896725,1.0,0.0,phoneme,hgb,29,oracle_deletion,low
337,0.8182807112040513,0.8215680781237493,0.7329974811083123,0.26112759643916916,0.04154302670623145,phoneme,hgb,29,crcc_p_l0,low
337,0.8182807112040513,0.8215680781237493,0.7329974811083123,0.26112759643916916,0.04154302670623145,phoneme,hgb,29,crcc_p_l025,low
337,0.8182807112040513,0.8215680781237493,0.7329974811083123,0.26112759643916916,0.04154302670623145,phoneme,hgb,29,crcc_p_l05,low
337,0.8182807112040513,0.8215680781237493,0.7329974811083123,0.26112759643916916,0.04154302670623145,phoneme,hgb,29,crcc_p_l10,low
337,0.8184919390185299,0.821074726952429,0.7355163727959698,0.19584569732937684,0.017804154302670624,phoneme,hgb,29,crcc_m,low
0,0.7737459668689173,0.7987578523937098,0.5894206549118388,0.0,0.0,phoneme,hgb,47,no_cleaning,low
337,0.7807785329172146,0.8050692574066949,0.6045340050377834,0.04747774480712166,0.142433234421365,phoneme,hgb,47,random_deletion,low
337,0.7439338012029424,0.7717446894007196,0.5214105793450882,0.45103857566765576,0.44807121661721067,phoneme,hgb,47,global_top_loss,low
337,0.8328699523153209,0.8331147937327467,0.7632241813602015,0.22255192878338279,0.04154302670623145,phoneme,hgb,47,class_proportional,low
181,0.8050208851501566,0.8282426052460896,0.6498740554156172,1.0,0.0,phoneme,hgb,47,oracle_deletion,low
337,0.8328699523153209,0.8331147937327467,0.7632241813602015,0.22255192878338279,0.04154302670623145,phoneme,hgb,47,crcc_p_l0,low
337,0.8328699523153209,0.8331147937327467,0.7632241813602015,0.22255192878338279,0.04154302670623145,phoneme,hgb,47,crcc_p_l025,low
337,0.8328699523153209,0.8331147937327467,0.7632241813602015,0.22255192878338279,0.04154302670623145,phoneme,hgb,47,crcc_p_l05,low
337,0.8328699523153209,0.8331147937327467,0.7632241813602015,0.22255192878338279,0.04154302670623145,phoneme,hgb,47,crcc_p_l10,low
337,0.8398008649779003,0.836565278091109,0.783375314861461,0.1513353115727003,0.020771513353115726,phoneme,hgb,47,crcc_m,low
0,0.7569427942271438,0.7869353050752546,0.5390428211586902,0.0,0.0,phoneme,hgb,61,no_cleaning,low
337,0.7523274664807862,0.7812361972168267,0.5340050377833753,0.06528189910979229,0.1394658753709199,phoneme,hgb,61,random_deletion,low
337,0.7218816173713755,0.752622863388817,0.45843828715365237,0.39762611275964393,0.4836795252225519,phoneme,hgb,61,global_top_loss,low
337,0.8142832248150437,0.8229087216824632,0.7103274559193955,0.2403560830860534,0.026706231454005934,phoneme,hgb,61,class_proportional,low
165,0.7830782757473504,0.8115424568901553,0.5944584382871536,1.0,0.0,phoneme,hgb,61,oracle_deletion,low
337,0.8142832248150437,0.8229087216824632,0.7103274559193955,0.2403560830860534,0.026706231454005934,phoneme,hgb,61,crcc_p_l0,low
337,0.8142832248150437,0.8229087216824632,0.7103274559193955,0.2403560830860534,0.026706231454005934,phoneme,hgb,61,crcc_p_l025,low
337,0.8142832248150437,0.8229087216824632,0.7103274559193955,0.2403560830860534,0.026706231454005934,phoneme,hgb,61,crcc_p_l05,low
337,0.8142832248150437,0.8229087216824632,0.7103274559193955,0.2403560830860534,0.026706231454005934,phoneme,hgb,61,crcc_p_l10,low
337,0.8174357999461369,0.8235427977421579,0.7229219143576826,0.18100890207715134,0.005934718100890208,phoneme,hgb,61,crcc_m,low
0,0.790464858004125,0.8195619268097232,0.6060606060606061,0.0,0.0,phoneme,hgb,83,no_cleaning,low
337,0.7737426622243376,0.8026926283009075,0.5757575757575758,0.06528189910979229,0.13353115727002968,phoneme,hgb,83,random_deletion,low
337,0.7565590459569518,0.789393637392322,0.5277777777777778,0.4836795252225519,0.4124629080118694,phoneme,hgb,83,global_top_loss,low
337,0.8454955312285155,0.8529791673566721,0.76010101010101,0.24629080118694363,0.032640949554896145,phoneme,hgb,83,class_proportional,low
207,0.7938217251044476,0.824031587604619,0.6085858585858586,1.0,0.0,phoneme,hgb,83,oracle_deletion,low
337,0.8454955312285155,0.8529791673566721,0.76010101010101,0.24629080118694363,0.032640949554896145,phoneme,hgb,83,crcc_p_l0,low
337,0.8454955312285155,0.8529791673566721,0.76010101010101,0.24629080118694363,0.032640949554896145,phoneme,hgb,83,crcc_p_l025,low
337,0.8454955312285155,0.8529791673566721,0.76010101010101,0.24629080118694363,0.032640949554896145,phoneme,hgb,83,crcc_p_l05,low
337,0.8454955312285155,0.8529791673566721,0.76010101010101,0.24629080118694363,0.032640949554896145,phoneme,hgb,83,crcc_p_l10,low
337,0.8400444232904967,0.8456145303971392,0.7575757575757576,0.18100890207715134,0.005934718100890208,phoneme,hgb,83,crcc_m,low
0,0.5287761194029851,0.4720588857396675,0.08955223880597014,0.0,0.0,pima,lr,13,no_cleaning,medium
44,0.5362388059701493,0.48516842634489693,0.1044776119402985,0.09090909090909091,0.09090909090909091,pima,lr,13,random_deletion,medium
44,0.5770149253731343,0.5542789691127288,0.19402985074626866,0.4772727272727273,0.5,pima,lr,13,global_top_loss,medium
44,0.6926567164179105,0.6996621198848705,0.5373134328358209,0.2727272727272727,0.06818181818181818,pima,lr,13,class_proportional,medium
44,0.5397014925373134,0.49473684210526314,0.11940298507462686,1.0,0.0,pima,lr,13,oracle_deletion,medium
44,0.6926567164179105,0.6996621198848705,0.5373134328358209,0.2727272727272727,0.06818181818181818,pima,lr,13,crcc_p_l0,medium
44,0.6926567164179105,0.6996621198848705,0.5373134328358209,0.2727272727272727,0.06818181818181818,pima,lr,13,crcc_p_l025,medium
44,0.6926567164179105,0.6996621198848705,0.5373134328358209,0.2727272727272727,0.06818181818181818,pima,lr,13,crcc_p_l05,medium
44,0.6926567164179105,0.6996621198848705,0.5373134328358209,0.2727272727272727,0.06818181818181818,pima,lr,13,crcc_p_l10,medium
44,0.6811940298507462,0.6876486046802652,0.5223880597014925,0.20454545454545456,0.022727272727272728,pima,lr,13,crcc_m,medium
0,0.5895522388059702,0.5617347997509857,0.1791044776119403,0.0,0.0,pima,lr,29,no_cleaning,medium
44,0.6114029850746269,0.599606531575841,0.23880597014925373,0.06818181818181818,0.11363636363636363,pima,lr,29,random_deletion,medium
44,0.6263283582089552,0.621037965865552,0.26865671641791045,0.5681818181818182,0.36363636363636365,pima,lr,29,global_top_loss,medium
44,0.743044776119403,0.7553205046514592,0.582089552238806,0.2727272727272727,0.022727272727272728,pima,lr,29,class_proportional,medium
44,0.5930149253731343,0.5697347512529031,0.19402985074626866,1.0,0.0,pima,lr,29,oracle_deletion,medium
44,0.743044776119403,0.7553205046514592,0.582089552238806,0.2727272727272727,0.022727272727272728,pima,lr,29,crcc_p_l0,medium
44,0.743044776119403,0.7553205046514592,0.582089552238806,0.2727272727272727,0.022727272727272728,pima,lr,29,crcc_p_l025,medium
44,0.743044776119403,0.7553205046514592,0.582089552238806,0.2727272727272727,0.022727272727272728,pima,lr,29,crcc_p_l05,medium
44,0.743044776119403,0.7553205046514592,0.582089552238806,0.2727272727272727,0.022727272727272728,pima,lr,29,crcc_p_l10,medium
44,0.735044776119403,0.7454545454545455,0.582089552238806,0.20454545454545456,0.0,pima,lr,29,crcc_m,medium
0,0.5855522388059702,0.5578947368421052,0.1791044776119403,0.0,0.0,pima,lr,47,no_cleaning,medium
44,0.5855522388059702,0.5578947368421052,0.1791044776119403,0.1590909090909091,0.13636363636363635,pima,lr,47,random_deletion,medium
44,0.5999402985074627,0.5844973440881369,0.22388059701492538,0.5681818181818182,0.4318181818181818,pima,lr,47,global_top_loss,medium
44,0.6737313432835821,0.6802312792634259,0.5074626865671642,0.29545454545454547,0.022727272727272728,pima,lr,47,class_proportional,medium
44,0.6188656716417911,0.6104260964570002,0.2537313432835821,1.0,0.0,pima,lr,47,oracle_deletion,medium
44,0.6737313432835821,0.6802312792634259,0.5074626865671642,0.29545454545454547,0.022727272727272728,pima,lr,47,crcc_p_l0,medium
44,0.6737313432835821,0.6802312792634259,0.5074626865671642,0.29545454545454547,0.022727272727272728,pima,lr,47,crcc_p_l025,medium
44,0.6737313432835821,0.6802312792634259,0.5074626865671642,0.29545454545454547,0.022727272727272728,pima,lr,47,crcc_p_l05,medium
44,0.6737313432835821,0.6802312792634259,0.5074626865671642,0.29545454545454547,0.022727272727272728,pima,lr,47,crcc_p_l10,medium
44,0.6961194029850746,0.7022332506203475,0.5522388059701493,0.20454545454545456,0.0,pima,lr,47,crcc_m,medium
0,0.5815522388059702,0.5540887422075541,0.1791044776119403,0.0,0.0,pima,lr,61,no_cleaning,medium
44,0.582089552238806,0.5495223730517849,0.16417910447761194,0.11363636363636363,0.1590909090909091,pima,lr,61,random_deletion,medium
44,0.6154029850746269,0.6038095238095238,0.23880597014925373,0.6818181818181818,0.3181818181818182,pima,lr,61,global_top_loss,medium
44,0.743044776119403,0.7553205046514592,0.582089552238806,0.25,0.045454545454545456,pima,lr,61,class_proportional,medium
44,0.6039402985074627,0.5885714285714285,0.22388059701492538,1.0,0.0,pima,lr,61,oracle_deletion,medium
44,0.743044776119403,0.7553205046514592,0.582089552238806,0.25,0.045454545454545456,pima,lr,61,crcc_p_l0,medium
44,0.743044776119403,0.7553205046514592,0.582089552238806,0.25,0.045454545454545456,pima,lr,61,crcc_p_l025,medium
44,0.743044776119403,0.7553205046514592,0.582089552238806,0.25,0.045454545454545456,pima,lr,61,crcc_p_l05,medium
44,0.743044776119403,0.7553205046514592,0.582089552238806,0.25,0.045454545454545456,pima,lr,61,crcc_p_l10,medium
44,0.7459701492537314,0.7547892720306513,0.6119402985074627,0.18181818181818182,0.0,pima,lr,61,crcc_m,medium
0,0.6148656716417911,0.6061767096249855,0.2537313432835821,0.0,0.0,pima,lr,83,no_cleaning,medium
44,0.5855522388059702,0.5578947368421052,0.1791044776119403,0.11363636363636363,0.1590909090909091,pima,lr,83,random_deletion,medium
44,0.648179104477612,0.6523666999224034,0.3283582089552239,0.7045454545454546,0.29545454545454547,pima,lr,83,global_top_loss,medium
44,0.7425074626865671,0.7526317443358577,0.5970149253731343,0.3409090909090909,0.0,pima,lr,83,class_proportional,medium
44,0.6297910447761194,0.627042468101314,0.2835820895522388,1.0,0.0,pima,lr,83,oracle_deletion,medium
44,0.7425074626865671,0.7526317443358577,0.5970149253731343,0.3409090909090909,0.0,pima,lr,83,crcc_p_l0,medium
44,0.7425074626865671,0.7526317443358577,0.5970149253731343,0.3409090909090909,0.0,pima,lr,83,crcc_p_l025,medium
44,0.7425074626865671,0.7526317443358577,0.5970149253731343,0.3409090909090909,0.0,pima,lr,83,crcc_p_l05,medium
44,0.7425074626865671,0.7526317443358577,0.5970149253731343,0.3409090909090909,0.0,pima,lr,83,crcc_p_l10,medium
44,0.7345074626865671,0.7428277731053172,0.5970149253731343,0.22727272727272727,0.0,pima,lr,83,crcc_m,medium
0,0.5719402985074628,0.5568790946992257,0.22388059701492538,0.0,0.0,pima,hgb,13,no_cleaning,medium
44,0.5082388059701493,0.46362384418650404,0.1044776119402985,0.09090909090909091,0.09090909090909091,pima,hgb,13,random_deletion,medium
44,0.5530149253731343,0.5319356411506582,0.19402985074626866,0.4772727272727273,0.4090909090909091,pima,hgb,13,global_top_loss,medium
44,0.6145671641791045,0.6177836761778368,0.373134328358209,0.22727272727272727,0.06818181818181818,pima,hgb,13,class_proportional,medium
44,0.5386268656716418,0.5055408147338848,0.14925373134328357,1.0,0.0,pima,hgb,13,oracle_deletion,medium
44,0.6145671641791045,0.6177836761778368,0.373134328358209,0.22727272727272727,0.06818181818181818,pima,hgb,13,crcc_p_l0,medium
44,0.6145671641791045,0.6177836761778368,0.373134328358209,0.22727272727272727,0.06818181818181818,pima,hgb,13,crcc_p_l025,medium
44,0.6145671641791045,0.6177836761778368,0.373134328358209,0.22727272727272727,0.06818181818181818,pima,hgb,13,crcc_p_l05,medium
44,0.6145671641791045,0.6177836761778368,0.373134328358209,0.22727272727272727,0.06818181818181818,pima,hgb,13,crcc_p_l10,medium
44,0.6404179104477612,0.6462259576531437,0.43283582089552236,0.1590909090909091,0.022727272727272728,pima,hgb,13,crcc_m,medium
0,0.6431044776119403,0.6484507042253521,0.3582089552238806,0.0,0.0,pima,hgb,29,no_cleaning,medium
44,0.5937910447761194,0.5889824461253033,0.2835820895522388,0.06818181818181818,0.11363636363636363,pima,hgb,29,random_deletion,medium
44,0.6068656716417911,0.5977908969720054,0.2537313432835821,0.5227272727272727,0.45454545454545453,pima,hgb,29,global_top_loss,medium
44,0.6988059701492537,0.7117597998331944,0.47761194029850745,0.2727272727272727,0.022727272727272728,pima,hgb,29,class_proportional,medium
44,0.6327164179104477,0.6337490829053558,0.31343283582089554,1.0,0.0,pima,hgb,29,oracle_deletion,medium
44,0.6988059701492537,0.7117597998331944,0.47761194029850745,0.2727272727272727,0.022727272727272728,pima,hgb,29,crcc_p_l0,medium
44,0.6988059701492537,0.7117597998331944,0.47761194029850745,0.2727272727272727,0.022727272727272728,pima,hgb,29,crcc_p_l025,medium
44,0.6988059701492537,0.7117597998331944,0.47761194029850745,0.2727272727272727,0.022727272727272728,pima,hgb,29,crcc_p_l05,medium
44,0.6988059701492537,0.7117597998331944,0.47761194029850745,0.2727272727272727,0.022727272727272728,pima,hgb,29,crcc_p_l10,medium
44,0.6942686567164179,0.7053195310714169,0.4925373134328358,0.18181818181818182,0.022727272727272728,pima,hgb,29,crcc_m,medium
0,0.5794029850746268,0.5672320141891143,0.23880597014925373,0.0,0.0,pima,hgb,47,no_cleaning,medium
44,0.5874029850746268,0.5751415819675205,0.23880597014925373,0.1590909090909091,0.13636363636363635,pima,hgb,47,random_deletion,medium
44,0.5271641791044777,0.49055720305915407,0.13432835820895522,0.45454545454545453,0.45454545454545453,pima,hgb,47,global_top_loss,medium
44,0.6380298507462687,0.6437126758662572,0.3880597014925373,0.2727272727272727,0.022727272727272728,pima,hgb,47,class_proportional,medium
44,0.6068656716417911,0.5977908969720054,0.2537313432835821,1.0,0.0,pima,hgb,47,oracle_deletion,medium
44,0.6380298507462687,0.6437126758662572,0.3880597014925373,0.2727272727272727,0.022727272727272728,pima,hgb,47,crcc_p_l0,medium
44,0.6380298507462687,0.6437126758662572,0.3880597014925373,0.2727272727272727,0.022727272727272728,pima,hgb,47,crcc_p_l025,medium
44,0.6380298507462687,0.6437126758662572,0.3880597014925373,0.2727272727272727,0.022727272727272728,pima,hgb,47,crcc_p_l05,medium
44,0.6380298507462687,0.6437126758662572,0.3880597014925373,0.2727272727272727,0.022727272727272728,pima,hgb,47,crcc_p_l10,medium
44,0.644955223880597,0.6515196515196515,0.417910447761194,0.18181818181818182,0.0,pima,hgb,47,crcc_m,medium
0,0.6012537313432835,0.5985114300903774,0.29850746268656714,0.0,0.0,pima,hgb,61,no_cleaning,medium
44,0.5455522388059701,0.5210884353741496,0.1791044776119403,0.11363636363636363,0.1590909090909091,pima,hgb,61,random_deletion,medium
44,0.5706268656716418,0.5334338863750628,0.14925373134328357,0.5909090909090909,0.38636363636363635,pima,hgb,61,global_top_loss,medium
44,0.644955223880597,0.6515196515196515,0.417910447761194,0.2727272727272727,0.022727272727272728,pima,hgb,61,class_proportional,medium
44,0.6103283582089551,0.6039455425120954,0.26865671641791045,1.0,0.0,pima,hgb,61,oracle_deletion,medium
44,0.644955223880597,0.6515196515196515,0.417910447761194,0.2727272727272727,0.022727272727272728,pima,hgb,61,crcc_p_l0,medium
44,0.644955223880597,0.6515196515196515,0.417910447761194,0.2727272727272727,0.022727272727272728,pima,hgb,61,crcc_p_l025,medium
44,0.644955223880597,0.6515196515196515,0.417910447761194,0.2727272727272727,0.022727272727272728,pima,hgb,61,crcc_p_l05,medium
44,0.644955223880597,0.6515196515196515,0.417910447761194,0.2727272727272727,0.022727272727272728,pima,hgb,61,crcc_p_l10,medium
44,0.656955223880597,0.6650563607085347,0.417910447761194,0.18181818181818182,0.0,pima,hgb,61,crcc_m,medium
0,0.6207164179104478,0.6206760300298143,0.31343283582089554,0.0,0.0,pima,hgb,83,no_cleaning,medium
44,0.5794029850746268,0.5672320141891143,0.23880597014925373,0.11363636363636363,0.1590909090909091,pima,hgb,83,random_deletion,medium
44,0.5839402985074627,0.5685393258426966,0.22388059701492538,0.5454545454545454,0.4318181818181818,pima,hgb,83,global_top_loss,medium
44,0.6862686567164179,0.6958784548246323,0.4925373134328358,0.25,0.06818181818181818,pima,hgb,83,class_proportional,medium
44,0.6700298507462686,0.6801701222753855,0.3880597014925373,1.0,0.0,pima,hgb,83,oracle_deletion,medium
44,0.6862686567164179,0.6958784548246323,0.4925373134328358,0.25,0.06818181818181818,pima,hgb,83,crcc_p_l0,medium
44,0.6862686567164179,0.6958784548246323,0.4925373134328358,0.25,0.06818181818181818,pima,hgb,83,crcc_p_l025,medium
44,0.6862686567164179,0.6958784548246323,0.4925373134328358,0.25,0.06818181818181818,pima,hgb,83,crcc_p_l05,medium
44,0.6862686567164179,0.6958784548246323,0.4925373134328358,0.25,0.06818181818181818,pima,hgb,83,crcc_p_l10,medium
44,0.6777313432835821,0.6848484848484848,0.5074626865671642,0.22727272727272727,0.0,pima,hgb,83,crcc_m,medium
0,0.5619047619047619,0.5392953929539295,0.14666666666666667,0.0,0.0,credit-g,lr,13,no_cleaning,medium
