deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method
0,0.6684179104477612,0.677938808373591,0.43283582089552236,0.0,0.0,pima,lr,13,no_cleaning
107,0.6913432835820896,0.7037037037037037,0.4626865671641791,0.2616822429906542,0.205607476635514,pima,lr,13,random_deletion
107,0.6798805970149254,0.6908212560386473,0.44776119402985076,0.5046728971962616,0.4392523364485981,pima,lr,13,global_top_loss
107,0.7312835820895522,0.7254180894842834,0.6865671641791045,0.4672897196261682,0.09345794392523364,pima,lr,13,class_proportional
99,0.6977313432835821,0.7082915791175044,0.5074626865671642,1.0,0.0,pima,lr,13,oracle_deletion
107,0.7312835820895522,0.7254180894842834,0.6865671641791045,0.4672897196261682,0.09345794392523364,pima,lr,13,crcc_p_l0
107,0.7312835820895522,0.7254180894842834,0.6865671641791045,0.4672897196261682,0.09345794392523364,pima,lr,13,crcc_p_l025
107,0.7312835820895522,0.7254180894842834,0.6865671641791045,0.4672897196261682,0.09345794392523364,pima,lr,13,crcc_p_l05
107,0.7312835820895522,0.7254180894842834,0.6865671641791045,0.4672897196261682,0.09345794392523364,pima,lr,13,crcc_p_l10
107,0.7515223880597015,0.7300944669365722,0.7910447761194029,0.40186915887850466,0.028037383177570093,pima,lr,13,crcc_m
0,0.6407164179104478,0.642644431209053,0.31343283582089554,0.0,0.0,pima,lr,29,no_cleaning
107,0.6332537313432836,0.6327495030566703,0.29850746268656714,0.12149532710280374,0.2897196261682243,pima,lr,29,random_deletion
107,0.6183283582089552,0.6124166825366597,0.26865671641791045,0.34579439252336447,0.5700934579439252,pima,lr,29,global_top_loss
107,0.7592835820895523,0.7592835820895523,0.6865671641791045,0.4205607476635514,0.12149532710280374,pima,lr,29,class_proportional
74,0.7182686567164178,0.7344039947366645,0.4925373134328358,1.0,0.0,pima,lr,29,oracle_deletion
107,0.7592835820895523,0.7592835820895523,0.6865671641791045,0.4205607476635514,0.12149532710280374,pima,lr,29,crcc_p_l0
107,0.7592835820895523,0.7592835820895523,0.6865671641791045,0.4205607476635514,0.12149532710280374,pima,lr,29,crcc_p_l025
107,0.7592835820895523,0.7592835820895523,0.6865671641791045,0.4205607476635514,0.12149532710280374,pima,lr,29,crcc_p_l05
107,0.7592835820895523,0.7592835820895523,0.6865671641791045,0.4205607476635514,0.12149532710280374,pima,lr,29,crcc_p_l10
107,0.7427462686567164,0.7366255144032922,0.7014925373134329,0.37383177570093457,0.028037383177570093,pima,lr,29,crcc_m
0,0.6545671641791045,0.6619718309859155,0.373134328358209,0.0,0.0,pima,lr,47,no_cleaning
107,0.6316417910447761,0.6349295774647887,0.34328358208955223,0.14953271028037382,0.19626168224299065,pima,lr,47,random_deletion
107,0.6356417910447761,0.6393407761828814,0.34328358208955223,0.37383177570093457,0.5607476635514018,pima,lr,47,global_top_loss
107,0.7048955223880597,0.7011892526794891,0.6417910447761194,0.35514018691588783,0.1308411214953271,pima,lr,47,class_proportional
71,0.6828059701492537,0.692779936648924,0.47761194029850745,1.0,0.0,pima,lr,47,oracle_deletion
107,0.7048955223880597,0.7011892526794891,0.6417910447761194,0.35514018691588783,0.1308411214953271,pima,lr,47,crcc_p_l0
107,0.7048955223880597,0.7011892526794891,0.6417910447761194,0.35514018691588783,0.1308411214953271,pima,lr,47,crcc_p_l025
107,0.7048955223880597,0.7011892526794891,0.6417910447761194,0.35514018691588783,0.1308411214953271,pima,lr,47,crcc_p_l05
107,0.7048955223880597,0.7011892526794891,0.6417910447761194,0.35514018691588783,0.1308411214953271,pima,lr,47,crcc_p_l10
107,0.7112835820895522,0.7016231149994244,0.6865671641791045,0.3364485981308411,0.028037383177570093,pima,lr,47,crcc_m
0,0.651641791044776,0.6573301766527044,0.34328358208955223,0.0,0.0,pima,lr,61,no_cleaning
107,0.7297313432835821,0.7473598974324369,0.5074626865671642,0.19626168224299065,0.17757009345794392,pima,lr,61,random_deletion
107,0.6964179104477611,0.7111569814225238,0.43283582089552236,0.38317757009345793,0.5233644859813084,pima,lr,61,global_top_loss
107,0.7427462686567164,0.7366255144032922,0.7014925373134329,0.34579439252336447,0.14953271028037382,pima,lr,61,class_proportional
76,0.7177313432835821,0.7324485733244857,0.5074626865671642,1.0,0.0,pima,lr,61,oracle_deletion
107,0.7427462686567164,0.7366255144032922,0.7014925373134329,0.34579439252336447,0.14953271028037382,pima,lr,61,crcc_p_l0
107,0.7427462686567164,0.7366255144032922,0.7014925373134329,0.34579439252336447,0.14953271028037382,pima,lr,61,crcc_p_l025
107,0.7427462686567164,0.7366255144032922,0.7014925373134329,0.34579439252336447,0.14953271028037382,pima,lr,61,crcc_p_l05
107,0.7427462686567164,0.7366255144032922,0.7014925373134329,0.34579439252336447,0.14953271028037382,pima,lr,61,crcc_p_l10
107,0.7416716417910447,0.729957805907173,0.7313432835820896,0.308411214953271,0.04672897196261682,pima,lr,61,crcc_m
