deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,pr_auc,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,lamda,budget,target_ratio
0,0.7403582089552239,0.765625,0.7411856334062248,0.7652107734475632,0.6567164179104478,0.6666666666666666,0.824,0.6124736243417642,,,0,44,,pima,lr,13,hidden_minority_medium,10,0.1,0.15
0,0.7587462686567163,0.7760416666666666,0.7560211590177015,0.7771336943566102,0.7014925373134329,0.6714285714285714,0.816,0.5984078376714115,,,0,44,,pima,lr,13,hidden_minority_medium,20,0.1,0.15
0,0.765134328358209,0.7708333333333334,0.7555555555555555,0.7740162037037037,0.746268656716418,0.6493506493506493,0.784,0.6022228761923402,,,0,44,,pima,lr,13,hidden_minority_medium,30,0.1,0.15
0,0.7328955223880597,0.7604166666666666,0.7344877344877345,0.7595523689273689,0.6417910447761194,0.6615384615384615,0.824,0.5985028824473815,,,0,44,,pima,lr,13,hidden_minority_medium,50,0.1,0.15
0,0.7438208955223881,0.765625,0.7429718875502007,0.7660224230254351,0.6716417910447762,0.6617647058823529,0.816,0.5973236620626495,,,0,44,,pima,lr,13,hidden_minority_medium,100,0.1,0.15
0,0.7600597014925373,0.7552083333333334,0.7435124918284399,0.7600578285914598,0.7761194029850746,0.6190476190476191,0.744,0.6930745764449312,,,0,44,,pima,lr,17,hidden_minority_medium,10,0.1,0.15
0,0.749134328358209,0.75,0.7361429225836005,0.7544090700870362,0.746268656716418,0.6172839506172839,0.752,0.6815350537213252,,,0,44,,pima,lr,17,hidden_minority_medium,20,0.1,0.15
0,0.7416716417910447,0.7447916666666666,0.729957805907173,0.7490770042194091,0.7313432835820896,0.6125,0.752,0.6648348203289377,,,0,44,,pima,lr,17,hidden_minority_medium,30,0.1,0.15
0,0.7336716417910447,0.734375,0.7203484221048122,0.739267992289019,0.7313432835820896,0.5975609756097561,0.736,0.6950940627173352,,,0,44,,pima,lr,17,hidden_minority_medium,50,0.1,0.15
0,0.7307462686567164,0.7395833333333334,0.7222222222222222,0.7432002314814815,0.7014925373134329,0.6103896103896104,0.76,0.6781337410449612,,,0,44,,pima,lr,17,hidden_minority_medium,100,0.1,0.15
0,0.7216716417910447,0.71875,0.705989110707804,0.7244924001814882,0.7313432835820896,0.5764705882352941,0.712,0.6547161278128639,,,0,44,,pima,lr,23,hidden_minority_medium,10,0.1,0.15
0,0.7256716417910447,0.7239583333333334,0.7107694056788789,0.7294269130924973,0.7313432835820896,0.5833333333333334,0.72,0.6792618765047045,,,0,44,,pima,lr,23,hidden_minority_medium,20,0.1,0.15
0,0.7296716417910447,0.7291666666666666,0.7155555555555555,0.7343518518518519,0.7313432835820896,0.5903614457831325,0.728,0.6716876149175848,,,0,44,,pima,lr,23,hidden_minority_medium,30,0.1,0.15
0,0.7222089552238806,0.7239583333333334,0.7093816935599029,0.7290432076729022,0.7164179104477612,0.5853658536585366,0.728,0.6720017420415727,,,0,44,,pima,lr,23,hidden_minority_medium,50,0.1,0.15
