deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,method,noise_level,mn_to_maj,maj_to_min
44,0.672955223880597,0.6835164835164835,0.417910447761194,0.4318181818181818,0.022727272727272728,0,0,,pima,lr,29,class_proportional,high,0.4,0.2
0,0.719044776119403,0.7260545905707196,0.582089552238806,,,44,0,0.22727272727272727,pima,lr,29,balanced_oof_relabel,high,0.4,0.2
0,0.598865671641791,0.589543562239808,0.2537313432835821,,,44,0,0.18181818181818182,pima,lr,29,random_relabel,high,0.4,0.2
0,0.6287164179104477,0.6293571298488435,0.31343283582089554,,,0,0,,pima,lr,31,no_cleaning,low,0.1,0.05
44,0.7035820895522388,0.7094054054054054,0.5671641791044776,0.13636363636363635,0.09090909090909091,0,0,,pima,lr,31,class_proportional,low,0.1,0.05
0,0.7254328358208955,0.7277253115288296,0.6268656716417911,,,44,0,0.06818181818181818,pima,lr,31,balanced_oof_relabel,low,0.1,0.05
0,0.6212537313432835,0.6196625091709465,0.29850746268656714,,,44,0,0.0,pima,lr,31,random_relabel,low,0.1,0.05
0,0.5666268656716418,0.5298609670056028,0.14925373134328357,,,0,0,,pima,lr,31,no_cleaning,medium,0.3,0.1
44,0.6633432835820896,0.671052206238888,0.4626865671641791,0.38636363636363635,0.022727272727272728,0,0,,pima,lr,31,class_proportional,medium,0.3,0.1
0,0.6651940298507463,0.669250645994832,0.5223880597014925,,,44,0,0.22727272727272727,pima,lr,31,balanced_oof_relabel,medium,0.3,0.1
0,0.5994029850746269,0.5872235872235873,0.23880597014925373,,,44,0,0.09090909090909091,pima,lr,31,random_relabel,medium,0.3,0.1
0,0.5442388059701493,0.4914559125085441,0.1044776119402985,,,0,0,,pima,lr,31,no_cleaning,high,0.4,0.2
44,0.6524179104477612,0.6596638655462186,0.43283582089552236,0.45454545454545453,0.045454545454545456,0,0,,pima,lr,31,class_proportional,high,0.4,0.2
0,0.6745074626865671,0.6719688936019795,0.5970149253731343,,,44,0,0.29545454545454547,pima,lr,31,balanced_oof_relabel,high,0.4,0.2
0,0.5735522388059702,0.5465716687347396,0.1791044776119403,,,44,0,0.13636363636363635,pima,lr,31,random_relabel,high,0.4,0.2
0,0.6103283582089551,0.6039455425120954,0.26865671641791045,,,0,0,,pima,lr,37,no_cleaning,low,0.1,0.05
44,0.7075820895522388,0.7141439205955336,0.5671641791044776,0.18181818181818182,0.06818181818181818,0,0,,pima,lr,37,class_proportional,low,0.1,0.05
0,0.7032835820895522,0.6921667430142007,0.6865671641791045,,,44,0,0.045454545454545456,pima,lr,37,balanced_oof_relabel,low,0.1,0.05
0,0.6654925373134328,0.674947310230453,0.40298507462686567,,,44,0,0.022727272727272728,pima,lr,37,random_relabel,low,0.1,0.05
0,0.5298507462686567,0.45569905053323134,0.05970149253731343,,,0,0,,pima,lr,37,no_cleaning,medium,0.3,0.1
44,0.660955223880597,0.6696244812578023,0.417910447761194,0.4318181818181818,0.022727272727272728,0,0,,pima,lr,37,class_proportional,medium,0.3,0.1
0,0.7035820895522388,0.7094054054054054,0.5671641791044776,,,44,0,0.22727272727272727,pima,lr,37,balanced_oof_relabel,medium,0.3,0.1
0,0.5775522388059702,0.550314973348409,0.1791044776119403,,,44,0,0.022727272727272728,pima,lr,37,random_relabel,medium,0.3,0.1
0,0.5,0.3943217665615142,0.0,,,0,0,,pima,lr,37,no_cleaning,high,0.4,0.2
44,0.5863283582089552,0.579295233305794,0.26865671641791045,0.38636363636363635,0.06818181818181818,0,0,,pima,lr,37,class_proportional,high,0.4,0.2
0,0.6238805970149254,0.6275810286572394,0.44776119402985076,,,44,0,0.22727272727272727,pima,lr,37,balanced_oof_relabel,high,0.4,0.2
0,0.5258507462686567,0.45299145299145294,0.05970149253731343,,,44,0,0.022727272727272728,pima,lr,37,random_relabel,high,0.4,0.2
0,0.5327761194029851,0.4750512645249487,0.08955223880597014,,,0,0,,pima,lr,41,no_cleaning,low,0.1,0.05
44,0.6713432835820896,0.6802403422264311,0.4626865671641791,0.22727272727272727,0.022727272727272728,0,0,,pima,lr,41,class_proportional,low,0.1,0.05
0,0.6955820895522388,0.6999908085419284,0.5671641791044776,,,44,0,0.09090909090909091,pima,lr,41,balanced_oof_relabel,low,0.1,0.05
0,0.5143880597014925,0.4358974358974359,0.04477611940298507,,,44,0,0.022727272727272728,pima,lr,41,random_relabel,low,0.1,0.05
0,0.5149253731343284,0.42581090407177363,0.029850746268656716,,,0,0,,pima,lr,41,no_cleaning,medium,0.3,0.1
44,0.6614925373134328,0.6703296703296704,0.40298507462686567,0.3409090909090909,0.022727272727272728,0,0,,pima,lr,41,class_proportional,medium,0.3,0.1
0,0.6782686567164179,0.686545664073754,0.4925373134328358,,,44,0,0.20454545454545456,pima,lr,41,balanced_oof_relabel,medium,0.3,0.1
0,0.5298507462686567,0.45569905053323134,0.05970149253731343,,,44,0,0.022727272727272728,pima,lr,41,random_relabel,medium,0.3,0.1
0,0.5223880597014925,0.4409463148316652,0.04477611940298507,,,0,0,,pima,lr,41,no_cleaning,high,0.4,0.2
44,0.5690149253731343,0.5467316846627192,0.19402985074626866,0.36363636363636365,0.06818181818181818,0,0,,pima,lr,41,class_proportional,high,0.4,0.2
0,0.6553432835820896,0.661961010275617,0.4626865671641791,,,44,0,0.25,pima,lr,41,balanced_oof_relabel,high,0.4,0.2
0,0.5218507462686567,0.4502929128309034,0.05970149253731343,,,44,0,0.06818181818181818,pima,lr,41,random_relabel,high,0.4,0.2
0,0.6188656716417911,0.6104260964570002,0.2537313432835821,,,0,0,,pima,lr,43,no_cleaning,low,0.1,0.05
44,0.731044776119403,0.7405650001571191,0.582089552238806,0.20454545454545456,0.06818181818181818,0,0,,pima,lr,43,class_proportional,low,0.1,0.05
0,0.7558208955223881,0.7575757575757576,0.6716417910447762,,,44,0,0.09090909090909091,pima,lr,43,balanced_oof_relabel,low,0.1,0.05
0,0.5884776119402985,0.5693881566004328,0.208955223880597,,,44,0,0.0,pima,lr,43,random_relabel,low,0.1,0.05
0,0.5482388059701493,0.49462783171521035,0.1044776119402985,,,0,0,,pima,lr,43,no_cleaning,medium,0.3,0.1
44,0.7017313432835821,0.7130604288499025,0.5074626865671642,0.3409090909090909,0.022727272727272728,0,0,,pima,lr,43,class_proportional,medium,0.3,0.1
0,0.7787462686567164,0.7806637806637806,0.7014925373134329,,,44,0,0.1590909090909091,pima,lr,43,balanced_oof_relabel,medium,0.3,0.1
0,0.651641791044776,0.6573301766527044,0.34328358208955223,,,44,0,0.022727272727272728,pima,lr,43,random_relabel,medium,0.3,0.1
